idx,Country,Population,CropArea,CityPop,loc_x,loc_y
0,Papua New Guinea,8947024,14180.0,8947024,-5.6816069,144.2489081
1,Greenland,56770,2431.1,56770,77.6192349,-42.8125967
2,Iceland,341243,18720.0,341243,64.9841821,-18.1059013
3,Canada,37742154,571174.0,20626945,61.0666922,-107.991707
4,Algeria,43851044,413160.71,3902888,28.0000272,2.9999825
5,Benin,12123200,39500.0,1314920,9.5293472,2.2584408
6,Burkina Faso,20903273,126140.0,4543980,12.0753083,-1.6880314
7,Ghana,31072940,126037.4,8501676,8.0300284,-1.0800271
8,Cote d'Ivoire,26378274,233000.0,5866700,7.9897371,-5.5679458
9,Nigeria,206139589,684930.0,52705781,9.6000359,7.9999721
10,Niger,24206644,465950.0,1496260,17.7356214,9.3238432
11,Tunisia,11818619,97005.0,2510670,33.8439408,9.400138
12,Togo,8278724,38200.0,2042730,8.7800265,1.0199765
13,Belgium,11589623,13646.093,3193270,50.6402809,4.6667145
14,Germany,83783942,165950.0,8898199,51.1638175,10.4478313
15,Estonia,1326535,9850.0,1326535,58.7523778,25.3319078
16,Finland,5540720,22700.0,1346810,63.2467777,25.9209164
17,United Kingdom,67886011,172592.981,23170386,54.7023545,-3.2765753
18,Guernsey,62792,0.0,62792,49.4566233,-2.5822348
19,Jersey,97857,0.0,97857,49.2214561,-2.1358386
20,Isle of Man,85033,398.0,85033,54.1936805,-4.5591148
21,Falkland Islands,3480,0.0,3480,-51.9492937,-59.5383657
22,Netherlands,17134872,18144.5,2203740,52.24764975,5.541246849406163
23,Ireland,4937786,45120.0,1284550,52.865196,-7.9794599
24,Denmark,5792202,26199.87,1391200,55.670249,10.3333283
25,Faroe Islands,48863,960.7,48863,62.0448724,-7.0322972
26,Luxembourg,625978,1321.36,625978,49.8158683,6.1296751
27,Norway,5421241,9859.62,1100870,61.1529386,8.7876653
28,Poland,37846611,147330.0,2568846,52.215933,19.134422
29,Sweden,10099265,30055.4,1719600,59.6749712,14.5208584
30,South Africa,59308690,963410.0,25614172,-28.8166236,24.991639
31,Botswana,2351627,258620.0,2351627,-23.1681782,24.5928742
32,Congo (Brazzaville),5518087,106390.0,30289264,-0.7264327,15.6419155
33,Congo (Kinshasa),89561403,338950.0,4103940,-2.9814344,23.8222636
34,Swaziland,1160164,0.0,1160164,-26.5624806,31.3991317
35,Central African Republic,4829767,49090.0,985965,7.0323598,19.9981227
36,Equatorial Guinea,1402985,1049.2,1402985,1.613172,10.5170357
37,Saint Helena,6077,0.0,6077,-15.9690718,-5.71295
38,Mauritius,1271768,860.0,1271768,-20.2759451,57.5703566
39,British Indian Ocean Territory,3000,0.0,3000,-5.3497093499999995,71.86064227010121
40,Cameroon,26545863,97500.0,8884880,4.6125522,13.1535811
41,Zambia,18383955,238390.0,4116570,-14.5189121,27.5589884
42,Comoros,869601,1330.0,869601,-12.2045176,44.2832964
43,Mayotte,272815,0.0,272815,-12.823048,45.1520755
44,Reunion,895312,0.0,895312,-21.1309332,55.5265771
45,Madagascar,27691018,408950.0,4048670,-18.9249604,46.4416422
46,Angola,32866272,458920.0,14018659,-11.8775768,17.5691241
47,Gabon,2225734,21532.36,883920,-0.8999695,11.6899699
